Meses;Codigo;Total;IPTS (%);PPT (%);Trafo(cu);Trafo(fe)
out/21;AAA  0107;366,286;7,063;0,011;22,005;45,298
out/21;AAA  0106;308,559;6,276;0,01;20,475;49,297
out/21;AAA  0105;159,216;5,056;0,005;16,599;37,341
out/21;AAA  0104;104,523;5,635;0,003;10,6;23,25
out/21;AAA  0103;83,045;4,565;0,003;8,205;26,213
out/21;AAA  0102;205,491;6,071;0,006;22,213;33,74
out/21;AAA  0101;0;0;0;0;0
out/21;AAA  0100;0;0;0;0;0
nov/21;AAA  0115;255,994;5,789;0,008;30,031;43,668
nov/21;AAA  0114;212,792;5,882;0,007;19,646;33,678
nov/21;AAA  0113;135,713;4,793;0,004;11,507;28,49
nov/21;AAA  0112;175,882;5,601;0,006;24,062;29,923
nov/21;AAA  0111;35,802;4,387;0,001;3,915;11,009
nov/21;AAA  0110;89,725;4,569;0,003;8,242;27,49
nov/21;AAA  0109;362,121;6,258;0,011;40,141;62,516
nov/21;AAA  0108;133,784;4,793;0,004;13,908;32,638
nov/21;AAA  0107;354,748;6,903;0,011;21,897;43,837
nov/21;AAA  0106;288,689;6,117;0,009;19,793;47,707
nov/21;AAA  0105;153,601;4,997;0,005;15,82;36,137
nov/21;AAA  0104;97,497;5,348;0,003;9,716;22,5
nov/21;AAA  0103;75,602;4,575;0,002;7,06;25,367
nov/21;AAA  0102;204,634;6,088;0,006;22,3;32,652
nov/21;AAA  0101;0;0;0;0;0
nov/21;AAA  0100;0;0;0;0;0
dez/21;AAA  0115;322,194;6,958;0,01;35,823;45,124
dez/21;AAA  0114;214,976;5,718;0,007;20,027;34,901
dez/21;AAA  0113;136,449;4,802;0,004;11,847;29,44
dez/21;AAA  0112;180,061;5,484;0,005;25,131;31,084
dez/21;AAA  0111;36,534;4,382;0,001;3,854;11,376
dez/21;AAA  0110;99,583;4,624;0,003;9,877;28,406
dez/21;AAA  0109;353,157;6,045;0,011;37,101;64,6
dez/21;AAA  0108;139,975;4,835;0,004;14,716;33,726
dez/21;AAA  0107;371,375;6,959;0,011;24,182;45,298
dez/21;AAA  0106;296,338;6,127;0,009;21,657;49,543
dez/21;AAA  0105;162,564;5,073;0,005;17,257;37,282
dez/21;AAA  0104;100,471;5,385;0,003;10,158;23,414
dez/21;AAA  0103;82,571;4,566;0,003;8,034;26,213
dez/21;AAA  0102;213,282;6,162;0,007;22,942;34,217
dez/21;AAA  0101;0;0;0;0;0
dez/21;AAA  0100;0;0;0;0;0
jan/22;AAA  0115;267,279;5,702;0,008;33,066;42,136
jan/22;AAA  0114;211,118;5,651;0,006;20,497;32,956
jan/22;AAA  0113;134,658;4,755;0,004;12,582;27,672
jan/22;AAA  0112;184,351;5,571;0,006;26,115;30,03
jan/22;AAA  0111;35,602;4,246;0,001;4,13;11,063
jan/22;AAA  0110;91,531;4,445;0,003;9,015;27,446
jan/22;AAA  0109;372,852;6,287;0,011;42,85;59,488
jan/22;AAA  0108;140,401;4,734;0,004;16,069;32,206
jan/22;AAA  0107;363,609;6,742;0,011;24,524;40,215
jan/22;AAA  0106;289,047;6,009;0,009;21,058;45,128
jan/22;AAA  0105;154,898;4,957;0,005;16,894;35,182
jan/22;AAA  0104;98,042;5,173;0,003;10,46;22,481
jan/22;AAA  0103;73,545;4,289;0,002;7,516;25,169
jan/22;AAA  0102;210,135;6,079;0,006;23,429;32,028
jan/22;AAA  0101;0;0;0;0;0
jan/22;AAA  0100;0;0;0;0;0
fev/22;AAA  0115;277,263;6,256;0,009;32,783;40,757
fev/22;AAA  0114;237,89;6,93;0,008;23,481;31,759
fev/22;AAA  0113;130,302;4,854;0,004;11,323;26,591
fev/22;AAA  0112;178,732;5,887;0,006;24,362;28,076
fev/22;AAA  0111;34,264;4,385;0,001;3,803;10,255
fev/22;AAA  0110;91,342;4,772;0,003;9,114;25,657
fev/22;AAA  0109;363,402;6,436;0,011;39,866;58,348
fev/22;AAA  0108;136,999;4,945;0,004;14,855;30,462
fev/22;AAA  0107;357,988;6,971;0,011;18,938;41,076
fev/22;AAA  0106;300,911;6,45;0,009;20,855;44,748
fev/22;AAA  0105;140,971;4,62;0,004;12,525;33,452
fev/22;AAA  0104;97,034;5,476;0,003;9,758;21
fev/22;AAA  0103;71,192;4,594;0,002;6,649;23,676
fev/22;AAA  0102;199,857;6,233;0,006;21,7;30,905
fev/22;AAA  0101;0;0;0;0;0
fev/22;AAA  0100;0;0;0;0;0
mar/22;AAA  0115;305,397;6,135;0,008;37,328;41,921
mar/22;AAA  0114;222,828;5,672;0,006;22,605;32,826
mar/22;AAA  0113;149,816;4,814;0,004;14,013;27,478
mar/22;AAA  0112;202,887;5,91;0,006;28,96;30,078
mar/22;AAA  0111;40,04;4,414;0,001;4,673;11,313
mar/22;AAA  0110;114,154;5,053;0,003;18,618;27,356
mar/22;AAA  0109;428,027;6,593;0,012;46,979;59,009
mar/22;AAA  0108;154,234;4,906;0,004;17,745;32,06
mar/22;AAA  0107;416,834;7,192;0,012;28,126;39,611
mar/22;AAA  0106;329,497;6,345;0,009;24,515;44,565
mar/22;AAA  0105;171,868;5,031;0,005;19,403;34,96
mar/22;AAA  0104;101,966;5,149;0,003;11,007;22,433
mar/22;AAA  0103;73,674;4,267;0,002;7,429;25,106
mar/22;AAA  0102;216,577;6,057;0,006;24,622;31,939
mar/22;AAA  0101;0;0;0;0;0
mar/22;AAA  0100;0;0;0;0;0
abr/22;AAA  0115;259,661;5,749;0,008;32,93;40,902
abr/22;AAA  0114;202,213;5,607;0,006;20,325;31,983
abr/22;AAA  0113;149,021;5,267;0,005;13,581;26,677
abr/22;AAA  0112;176,291;5,594;0,005;24,57;29,166
abr/22;AAA  0111;35,505;4,329;0,001;4,041;10,965
abr/22;AAA  0110;89,001;4,425;0,003;9,234;26,532
abr/22;AAA  0109;361,547;6,182;0,011;40,085;57,592
abr/22;AAA  0108;135,093;4,713;0,004;15,091;31,137
abr/22;AAA  0107;395,22;7,452;0,012;28,862;38,783
abr/22;AAA  0106;288,15;6,038;0,009;20,6;43,524
abr/22;AAA  0105;147,716;4,857;0,005;16,657;34,642
abr/22;AAA  0104;97,476;5,207;0,003;10,874;21,763
abr/22;AAA  0103;70,347;4,255;0,002;7,226;24,366
abr/22;AAA  0102;201,367;5,986;0,006;22,854;31,106
abr/22;AAA  0101;0;0;0;0;0
abr/22;AAA  0100;0;0;0;0;0
mai/22;AAA  0115;258,683;5,664;0,008;32,55;42,381
mai/22;AAA  0114;194,394;5,41;0,006;19,363;33,15
mai/22;AAA  0113;137,229;4,873;0,004;12,367;27,685
mai/22;AAA  0112;167,064;5,323;0,005;24,364;29,412
mai/22;AAA  0111;35,603;4,3;0,001;3,981;11,35
mai/22;AAA  0110;93,252;4,526;0,003;9,616;27,42
mai/22;AAA  0109;361,766;6,175;0,011;40,132;59,571
mai/22;AAA  0108;135,489;4,695;0,004;14,911;32,227
mai/22;AAA  0107;344,797;6,686;0,011;25,236;40,685
mai/22;AAA  0106;306,647;6,11;0,009;21,756;44,95
mai/22;AAA  0105;146,937;4,887;0,004;15,878;35,891
mai/22;AAA  0104;104,992;5,422;0,003;11,28;22,497
mai/22;AAA  0103;76,091;4,316;0,002;7,879;25,203
mai/22;AAA  0102;203,17;6,024;0,006;22,702;32,207
mai/22;AAA  0101;0;0;0;0;0
mai/22;AAA  0100;0;0;0;0;0
